Problem size,p=1,p=2,p=3,p=4,p=8,p=28
1,0.0013153,0.0000788,0.0000771,0.0001036,0.000112,0.0000991
2,0.0018573,0.0000849,0.0000859,0.0000929,0.000108,0.0001179
4,0.000082,0.0000963,0.0001098,0.0000876,0.0001111,0.0001182
8,0.0000933,0.000102,0.0000882,0.0001136,0.0001483,0.000138
16,0.0011432,0.0001005,0.0000944,0.0001316,0.0001404,0.0001573
32,0.0001443,0.0001083,0.0001456,0.0001134,0.000193,0.0001897
64,0.0001743,0.0002002,0.0002389,0.0001997,0.0003207,0.0003128
128,0.0004144,0.0006008,0.0008,0.0004886,0.0008208,0.0015015
256,0.0015949,0.0017439,0.0033837,0.0028653,0.0067008,0.0039297
512,0.0075041,0.0120123,0.0132809,0.0095744,0.0133916,0.0169419
1024,0.0389152,0.0368234,0.0429621,0.0406977,0.0636077,0.0940516
